material,event_id,t_s,frame,duration_frames,peak,high_conf,page,verdict_kill,verdict_mine,kill_frame_offset,note
b61cc53d,1,6.2667,188,77,0.8092,1,1,,,,
b61cc53d,2,11.4667,344,59,0.0871,1,1,,,,
b61cc53d,3,22.5,675,59,0.0953,1,1,,,,
b61cc53d,4,24.6333,739,59,0.0892,1,1,,,,
0a550967,1,0.0,0,71,0.6501,1,1,,,,
0a550967,2,6.6,198,60,0.0915,1,1,,,,
0a550967,3,17.3,519,60,0.1398,1,1,,,,
0a550967,4,28.1,843,73,0.1255,1,1,,,,
38cc4903,1,6.3667,191,59,0.0782,1,1,,,,
38cc4903,2,13.8333,415,60,0.1026,1,1,,,,
38cc4903,3,22.4667,674,98,0.5052,1,1,,,,
4b0460c4,1,6.7333,202,60,0.1006,1,1,,,,
4b0460c4,2,11.1667,335,60,0.0938,1,1,,,,
4b0460c4,3,14.3667,431,60,0.0945,1,1,,,,
4b0460c4,4,17.2667,518,30,0.0202,1,1,,,,
4c58efb4,1,6.4,192,97,0.4535,1,1,,,,
4c58efb4,2,10.8667,326,88,0.8598,1,1,,,,
4c58efb4,3,17.8667,536,111,0.364,1,1,,,,
4c58efb4,4,22.7667,683,60,0.1174,1,1,,,,
4c58efb4,5,33.8667,1016,125,0.1163,1,1,,,,
58b8e283,1,5.9667,179,64,0.0941,1,1,,,,
58b8e283,2,16.7,501,155,0.6534,1,1,,,,
58b8e283,3,23.3333,700,131,0.5356,1,1,,,,
6b2eea34,1,6.1667,185,60,0.0932,1,1,,,,
6b2eea34,2,17.1,513,78,0.096,1,1,,,,
6b2eea34,3,21.5333,646,80,0.3123,1,1,,,,
7f0d8287,1,5.8,174,60,0.1748,1,1,,,,
7f0d8287,2,17.3,519,60,0.1685,1,1,,,,
7f0d8287,3,28.1,843,78,0.9988,1,1,,,,
7f0d8287,4,32.8333,985,58,0.0739,1,1,,,,
7f0d8287,5,37.9667,1139,152,0.0869,1,1,,,,
851622c5,1,1.7,51,70,0.9694,1,1,,,,
851622c5,2,6.2667,188,79,0.0791,1,1,,,,
851622c5,3,16.8333,505,82,0.2852,1,1,,,,
851622c5,4,21.2333,637,152,0.9311,1,1,,,,
851622c5,5,28.4333,853,66,0.3821,1,1,,,,
9526869d,1,5.7333,172,58,0.0632,1,1,,,,
9526869d,2,16.9333,508,58,0.0927,1,1,,,,
9526869d,3,28.0,840,60,0.0654,1,1,,,,
dcc871b1,1,6.7333,202,59,0.1138,1,1,,,,
dcc871b1,2,8.9,267,66,0.098,1,1,,,,
dcc871b1,3,20.6,618,59,0.1036,1,1,,,,
