checks=72 passed=72 failed=0
  [PASSED]      style | 风格规则集可解析且规则 ID 非空
  [PASSED]      files | ep01.json 存在
  [PASSED]      files | GAME_EP01_LS/draft_content.json 存在
  [PASSED] ep01.json -> GAME_EP01_LS | 每片段 source_in+duration 不越过素材 Video 流上界
  [PASSED] ep01.json -> GAME_EP01_LS | 越界余量均 >= 1 帧(0.034s)
  [PASSED] ep01.json -> GAME_EP01_LS | 每片段都有 rule_id 与 reason
  [PASSED] ep01.json -> GAME_EP01_LS | 每个 rule_id 都存在于风格规则集
  [PASSED] ep01.json -> GAME_EP01_LS | 相邻片段零间隙（TRN-02）
  [PASSED] ep01.json -> GAME_EP01_LS | Σ duration == timeline end
  [PASSED] ep01.json -> GAME_EP01_LS | 总长 15.0s (±0.2)
  [PASSED] ep01.json -> GAME_EP01_LS | 单集内素材区间互不重叠（SEL-02 无重复画面）
  [PASSED] ep01.json -> GAME_EP01_LS | 草稿画布与 EDL canvas 一致
  [PASSED] ep01.json -> GAME_EP01_LS | 草稿 fps 与 EDL 一致
  [PASSED] ep01.json -> GAME_EP01_LS | 草稿轨道数与 EDL 一致
  [PASSED] ep01.json -> GAME_EP01_LS | 草稿视频片段数 == EDL clips 数
  [PASSED] ep01.json -> GAME_EP01_LS | 草稿文本片段数 == EDL texts 数
  [PASSED] ep01.json -> GAME_EP01_LS | 草稿逐片段时间码(微秒->秒)/音量 与 EDL 完全一致
  [PASSED] ep01.json -> GAME_EP01_LS | 草稿时间为真实秒值（非被当成微秒的裸数字）
  [PASSED] ep01.json -> GAME_EP01_LS | materials.transitions 数量 == EDL 声明的转场数
  [PASSED] ep01.json -> GAME_EP01_LS | 转场 duration 换算后 == EDL 声明值
  [PASSED] ep01.json -> GAME_EP01_LS | 转场名与 EDL 声明一致
  [PASSED] ep01.json -> GAME_EP01_LS | 转场挂在『前序片段』上（剪映 outgoing 约定）
  [PASSED] ep01.json -> GAME_EP01_LS | 转场与切口的对应顺序与 EDL 一致
  [PASSED] ep01.json -> GAME_EP01_LS | 草稿位于 projects/game-001/draft-out 内
  [PASSED] ep01.json -> GAME_EP01_LS | 草稿引用的素材路径指向工作区内的 原始素材/
  [PASSED] ep01.json -> GAME_EP01_LS | TRN-03 首个片段无『进入转场』
